시도,시군구,센터명,대표번호,팩스번호
광주,동구,동구아이돌봄지원센터,062-234-5801,062-233-1965
광주,북구,광주북구가족센터,062-461-1335,062-461-1338
광주,서구,광주서구가족센터,062-369-0075,062-351-4147
대전,대덕구,대덕구가족센터,042-628-4269,042-639-2667
대전,동구,무지개사회적협동조합,042-631-1100,0504-375-7995
대전,서구,대전서구가족센터,042-585-5704,070-4850-8490
대전,유성구,대전광역시가족센터,042-252-9993,042-933-9986
대전,중구,대전중구다문화가족지원센터,042-345-4566,042-252-4566
울산,남구,울산남구아이돌봄지원센터,052-275-1239,052-222-8099
울산,동구,울산동구아이돌봄지원센터,052-201-7901,052-201-7902
울산,북구,울산북구가족센터,052-267-3390,052)286-0026
울산,울주군,울주군아이돌봄지원센터,052-263-2009,052-256-3090
울산,중구,울산중구아이돌봄지원센터,052-212-3315,052-212-3316
세종,세종시,재단법인 세종시사회서비스원,044-850-8145,044-864-1840
경기,가평군,가평군가족센터,070-7510-5870,031-582-9903
경기,고양시,고양시건강가정지원센터,031-969-4064,031-969-0049
경기,과천시,과천시가족센터,02-507-0073,02-503-0004
경기,광명시,광명시가족센터,02-2625-0365,02-2684-0453
경기,광주시,광주시가족센터,031-763-1253,031-798-7139
경기,구리시,구리시가족센터,031-551-3133,031-556-3149
경기,군포시,군포시 가족센터,031-392-1816,031-392-1813
경기,김포시,김포시가족센터,031-996-5922,031-996-5924
경기,남양주시,남양주시가족센터,031-554-8211,031-556-8216
경기,동두천,동두천시가족센터,031-863-3363,031-863-3805
경기,부천시,부천시건강가정지원센터,032-326-4212,032-326-4219
경기,성남시,성남시가족센터,031-752-9327,031-755-5335
경기,수원시,수원시건강가정지원센터,031-245-1319,031-245-0292
경기,시흥시,시흥시가족센터,031-317-4516,031-317-4511
경기,시흥시,시흥작은자리 아이돌봄지원센터,031-313-1165,031-313-1164
경기,안산시,안산시건강가정지원센터,031-501-0033,031-501-7982
경기,안성시,안성시가족센터 ,031-674-0130,031-673-9335
경기,안양시,안양시가족센터,031-8045-5473,031-8045-4855
경기,양주시,양주시가족센터,031-848-5605,031-858-5684
경기,양평군,양평군가족센터,031-775-5955,031-775-5956
경기,여주시,여주시가족센터,031-886-0322,031-886-0323
경기,연천군,연천군가족센터,031-835-0911,031-835-0095
경기,오산시,오산시가족센터,031-378-9765,031-378-9767
경기,용인시,용인시가족센터,070-7477-8551,070-7469-7136
경기,의왕시,의왕시가족센터,031-689-5576,031-429-8993
경기,의정부시,의정부시가족센터,031-878-7216,031-8787891
경기,이천시,이천시가족센터,031-635-0881,031-633-4959
경기,파주시,파주시가족센터,031-949-9163,031-624-5631
경기,평택시,평택시가족센터,031-692-7740,031-615-3996
경기,포천시,포천시여성새로일하기센터,031-531-8144,031-531-8145
경기,하남시,하남시가족센터,031-793-2993,031-795-2969
경기,화성시,화성시가족센터,031-352-0305,031-352-1217
강원,강릉시,강릉시어린이집연합회,033-655-4385,033-655-7385
강원,고성군,고성군가족센터,033-681-9335,033-681-9391
강원,동해시,동해시가족센터,033-535-4555,033-535-8379
강원,삼척시,삼척시가족센터,033-575-5006,033-576-0763
강원,속초시,속초시가족센터,033-637-2952,033-638-3524
강원,양구군,양구군가족센터,033-480-2444,033-480-2419
강원,양양군,양양군가족센터,033-673-0021,033-673-0080
강원,영월군,영월군가족센터,033-375-8402,033-372-4790
강원,원주시,원주시가족센터,033-747-6012,033-747-6017
강원,인제군,인제군가족센터,033-462-3660,033-462-0036
강원,정선군,정선군가족센터,033-563-3123,033-562-3495
강원,철원군,철원군가족센터,033-452-7754,033-452-7795
강원,춘천시,사)동부디아코니아,033-252-1003,033-242-0044
강원,태백시,태백시가족센터,070-4103-4006,033-554-4007
강원,평창군,평창군가족센터 ,033-332-0311,033-332-2067
강원,홍천군,홍천군가족센터,033-432-1935,033-433-1910
강원,화천군,강원화천지역자활센터,033-442-1994,033-442-0406
강원,횡성군,횡성군가족센터,033-344-3460,033-344-3413
충북,괴산군,괴산군가족센터,043-833-1079,043-832-1814
충북,단양군,단양군가족센터,043-421-6203,043-420-6202
충북,보은군,보은군가족센터,043-544-5427,043-544-5424
충북,영동군,영동군가족센터,043-745-3883,043-744-4977
충북,옥천군,옥천군가족센터,043-733-1918,043-733-1917
충북,음성군,음성군가족센터,043-873-8779,043-873-3800
충북,제천시,제천시가족센터,043-645-9995,043-652-0067
충북,증평군,증평군여성단체협의회,043-836-0497,043-836-3863
충북,진천군,진천군가족센터,043-537-5434,043-537-5436
충북,청주시,청주시가족센터,043-264-1817,043-223-5250
충북,충주시,충주시가족센터,043-854-2253,043-857-5963
충남,계룡시,계룡시가족센터,042-551-1130,042-551-1144
충남,공주시,(사)공주대교육나눔,041-856-0887,041-850-6022
충남,금산군,금산군청,041-750-4114,041-751-6108
충남,논산시,논산시청,041-746-5884,041-746-5869
충남,당진시,당진시가족센터,041-360-3213,041-358-3674
충남,보령시,보령시가족센터,041-930-2816,041-936-8596
충남,부여군,부여군청,041-830-2922,041-833-1328
충남,서산시,서산시가족센터,041-664-3079,041-666-0155
충남,서천군,서천군가족센터,041-953-3660,041-953-1912
충남,아산시,아산시가족센터,041-548-9772,041-547-9772
충남,예산군,예산군가족센터,041-339-8389,041-339-7909
충남,천안시,천안시건강가정지원센터,041-620-9331,041-622-8913
충남,청양군,청양군가족센터,041-944-2334,041-944-2331
충남,태안군,태안군가족센터,041-670-0109,041-675-0197
충남,홍성군,홍성군가족센터,041-631-7432,041-634-0902
전북,고창군 ,고창군청 인재양성과,063-560-8086,063-560-8089
전북,군산시,군산시가족센터,063-443-2514,063-443-5203
전북,김제시,김제시가족센터,063-544-6838,063-545-2846
전북,남원시,남원시가족센터,063-635-6700,063-635-6702
전북,무주군,무주군가족센터,063-322-1130,063-322-1106
전북,부안군,부안군청 교육청소년과,063-580-4850,063-580-4555
전북,순창군,순창군가족센터,063-652-4438,063-652-3840
전북,완주군,완주군가족센터,063-262-0379,063-261-1035
전북,익산시,익산시가족센터,063-838-6048,063-838-6047
전북,임실군,임실군가족센터,063-642-1839,063-640-4639
전북,장수군,장수군자원봉사센터,063-351-5019,063-351-5016
전북,전주시,전주시가족센터,063-231-0285,063-231-0186
전북,정읍시,정읍시가족센터,063-535-1282,063-531-0311
전북,진안군,진안군가족센터,063-433-0746,063-433-2999
전남,강진군,강진군가족센터,061-433-9004,061-433-6201
전남,고흥군,고흥군가족센터,061-835-5964,061-835-5399
전남,곡성군,곡성군가족센터,061-362-5422,061-362-5412
전남,광양시,광양YMCA,061-761-5300,061-761-5299
전남,구례군,구례군새마을회,061-782-2514,061-783-9308
전남,나주시,나주시아이돌보미지원센터,061-331-3582,061-331-3584
전남,담양군,담양군여성단체협의회,061-381-1821,061-381-1821
전남,목포시,목포시가족센터,061-247-2314~5,061-279-2315
전남,무안군,무안군가족센터,061-454-4887,061-452-4788
전남,보성군,보성종합사회복지관,061-852-9848,061-852-9847
전남,순천시,순천시 YWCA,061-743-6100,061-744-7991
전남,신안군,신안군가족센터,061-240-8705,061-240-8709
전남,여수시,여수시가족센터,061-692-4175,061-692-4177
전남,영광군,영광지역자활센터,061-351-2055,061-351-2054
전남,영암군,영암군가족센터,061-463-2929,061-462-2929
전남,완도군,완도군가족센터,061-552-6900,061-555-5445
전남,장성군,장성군가족센터,061-392-0211,061-393-5422
전남,장흥군,장흥지역자활센터,061-862-0852,061-864-0027
전남,진도군,진도군가족센터,061-543-9994,061-544-9903
전남,함평군,사단법인나비뜰동산,061-322-6339,061-324-6338
전남,해남군,해남군가족센터,061-534-0216,061-534-0016
전남,화순군,화순군아이돌봄지원센터,061-375-6800,061-375-6783
경북,경산시,경산시가족센터,053-814-3222,053-814-8378
경북,경주시A,가경사회서비스지원센터,054-701-2511,054-701-0421
경북,경주시B,위덕대학교 아이돌봄지원센터,054-621-1070,054-621-1072
경북,고령군,고령군여성단체협의회,054-950-6215,054-950-6349
경북,구미시A,구미아이돌봄지원센터,054-457-0544,054-465-1124
경북,구미시B,구미강동아이돌봄지원센터,054-472-6601,054-472-6602
경북,김천시,김천시 더푸름 아이돌봄지원센터,054-431-5475,054-434-7076
경북,문경시,문경시가족센터,054-555-2514,054-554-5592
경북,봉화군,봉화군가족센터,054-674-1771,054-673-9022
경북,상주시,상주시가족센터,054-532-2208,054-536-0637
경북,성주군,성주군가족센터,054-982-9815,054-982-9840
경북,안동시,안동시가족센터,054-823-1245,054-859-9875
경북,영덕군,영덕군가족센터,054-730-7382,054-730-6659
경북,영양군,영양군다문화가족지원센터,054-682-5434,054-683-5433
경북,영주시,영주시가족센터,054-638-5431,054-635-5431
경북,영천시,영천시가족센터,054-334-2442,054-334-2662
경북,예천군,예천군가족센터,054-652-2514,054-652-4321
경북,울릉군,울릉군가족센터,054-791-1205,054-791-9936
경북,울진군,울진군가족센터,054-781-0328,054-783-8980
경북,의성군,의성군가족센터,054-832-5449,054-832-5442
경북,청도군,청도군가족센터,054-373-8133,054-373-8135
경북,청송군,청송군가족센터,054-870-6794,054-870-6799
경북,칠곡군,칠곡군가족센터,054-975-0840,054-975-0835
경북,포항시,포항시가족센터,054-244-9009,070-7198-1496
경남,거제시,거제시여성인력개발센터,055-636-2059,055-637-8148
경남,거창군,거창군가족센터,055-944-1365,055-945-1364
경남,고성군,경남돌봄지원센터 사회적협동조합,055-672-6644,055-674-0004
경남,김해시,김해시가족센터,055-329-6343,055-329-6357
경남,남해군,남해여성회,055-864-6615,055-864-6620
경남,밀양시,밀양시가족센터,055-351-4408,055-351-4410
경남,사천시,(사)사천YWCA,055-832-4422,055-833-9987
경남,산청군,산청군가족센터,055-972-1038,055-972-1028
경남,양산시,양산시 여성복지센터,055-392-4793,055-372-0026
경남,의령군,의령군가족센터,055-574-2514,055-573-5995
경남,진주시,진주시가족센터,055-749-5446,055-749-5448
경남,창녕군,사단법인 창녕모람,055-533-1367,055-521-1368
경남,창원시,사회적경제플랫폼협동조합,055-283-3226,055-283-7226
경남,창원시마산,경남행복한교육 사회적협동조합,055-231-5868,055-606-5868
경남,창원시진해,사회적협동조합 위드교육문화센터,055-551-4436,055-551-4470
경남,통영시,통영시가족센터,055-640-7921,055-649-1217
경남,하동군,경남하동지역자활센터,055)884-6955,055-884-6957
경남,함안군,함안군청,055-585-2381,055-580-2359
경남,함양군,함양군가족센터,055-962-7013,055-962-2058
경남,합천군,합천군여성단체협의회,055-930-4518,055-930-4519
제주,서귀포시 ,서귀포시가족센터,064-732-6485,064-733-9878
제주,제주시,제주시가족센터,064-725-9005,064-725-8006
